update,seen_steps,sps,mean_step_reward,episodes_ended,ep_return_ema,ep_len_ema,term_wall,term_obstacle,term_friendly,term_enemy,term_timeout,shots_fired,shots_hit,shots_hit_friendly,shots_missed,shot_hit_rate,friendly_fire_rate,kl,entropy,pg_loss,v_loss,eval_mean,eval_std,eval_len,best_eval
273,279552,1315,-0.158471,2,-54.179808,452.001059,0,1,0,0,1,47,1,1,45,0.021277,0.021277,0.002212,3.051879,-0.003082,182.006612,,,,76.088673
274,280576,1315,-0.040243,1,-52.601234,435.800953,0,1,0,0,0,46,5,1,40,0.108696,0.021739,0.002269,3.042394,-0.001884,204.457026,,,,76.088673
275,281600,1315,-0.101265,2,-27.860581,492.320858,0,0,0,0,2,47,6,2,39,0.127660,0.042553,0.010407,3.067424,0.000710,354.264753,,,,76.088673
276,282624,1316,-0.023006,1,-26.379551,486.088772,0,0,1,0,0,48,4,0,44,0.083333,0.000000,0.001548,3.054284,-0.001401,98.470298,,,,76.088673
277,283648,1316,0.056785,2,-30.722529,495.079895,0,0,0,1,1,46,1,1,44,0.021739,0.021739,0.004752,3.067713,0.000774,196.721540,,,,76.088673
278,284672,1317,-0.032406,3,-37.465703,493.471906,0,1,0,1,1,49,4,0,45,0.081633,0.000000,0.002395,3.060349,-0.000179,112.302310,,,,76.088673
279,285696,1317,0.095880,1,-54.252682,462.624715,0,0,1,0,0,48,6,1,41,0.125000,0.020833,0.005189,3.050788,-0.001738,249.294931,,,,76.088673
280,286720,1317,0.307122,1,-22.137320,488.962243,0,0,0,1,0,46,4,0,42,0.086957,0.000000,0.003769,3.053137,0.001602,112.530696,28.706312,162.443302,517.38,76.088673
281,287744,1265,-0.125029,5,-17.441862,505.386019,0,1,0,2,2,49,2,0,47,0.040816,0.000000,0.004108,3.067996,-0.001142,137.437737,,,,76.088673
282,288768,1266,-0.020959,1,-10.906520,488.347417,0,1,0,0,0,48,5,1,42,0.104167,0.020833,0.002300,3.067567,0.000986,244.816432,,,,76.088673
283,289792,1266,0.195276,0,-10.906520,488.347417,0,0,0,0,0,46,2,0,44,0.043478,0.000000,0.008401,3.058749,0.004490,26.388842,,,,76.088673
284,290816,1267,0.138285,0,-10.906520,488.347417,0,0,0,0,0,47,3,0,44,0.063830,0.000000,0.001802,3.073067,0.000233,42.668523,,,,76.088673
285,291840,1267,-0.278818,3,-3.309022,507.379342,0,0,2,0,1,48,1,1,46,0.020833,0.020833,0.007662,3.070167,0.001809,312.005585,,,,76.088673
286,292864,1267,0.185932,2,7.508070,516.491408,0,0,0,1,1,49,4,0,45,0.081633,0.000000,0.013827,3.069572,0.006952,83.585124,,,,76.088673
287,293888,1268,0.177192,0,7.508070,516.491408,0,0,0,0,0,46,5,1,40,0.108696,0.021739,0.002772,3.058766,-0.000790,213.171175,,,,76.088673
288,294912,1269,-0.481713,1,13.338064,564.942267,0,0,0,0,1,46,2,3,41,0.043478,0.065217,0.006016,3.062744,0.003682,600.937363,,,,76.088673
289,295936,1269,-0.319706,4,3.466996,572.123040,0,0,1,1,2,48,3,2,43,0.062500,0.041667,0.006643,3.073429,0.001783,310.684669,,,,76.088673
290,296960,1270,0.000693,2,-0.926259,568.660736,0,0,0,1,1,47,4,1,42,0.085106,0.021277,0.001674,3.074063,-0.001677,234.248987,89.071708,213.236332,830.12,89.071708
291,297984,1197,0.051445,1,0.280534,530.894663,0,0,0,1,0,47,6,1,40,0.127660,0.021277,0.003069,3.069565,0.001765,277.060767,,,,89.071708
292,299008,1198,0.051309,1,-46.714371,577.905196,0,0,0,0,1,49,3,1,45,0.061224,0.020408,0.002775,3.066409,-0.000521,224.542229,-11.473821,58.376220,512.75,89.071708
293,300032,299650,0.072396,0,-100.000000,200.000000,0,0,0,0,0,48,5,1,42,0.104167,0.020833,0.002057,3.059166,0.001057,210.501308,,,,89.071708
294,301056,175727,0.256603,0,-100.000000,200.000000,0,0,0,0,0,48,5,0,43,0.104167,0.000000,0.003003,3.067618,0.000073,74.657975,,,,89.071708
295,302080,125237,-0.885518,2,-103.441810,214.500000,0,1,0,1,0,48,0,4,44,0.000000,0.083333,0.002262,3.070586,0.001482,729.527332,,,,89.071708
296,303104,96690,0.225419,0,-103.441810,214.500000,0,0,0,0,0,46,1,0,45,0.021739,0.000000,0.003369,3.056082,-0.000216,27.834576,,,,89.071708
297,304128,79310,-0.276989,3,-99.265331,251.316667,0,0,1,2,0,46,5,1,40,0.108696,0.021739,0.002828,3.062979,-0.002316,294.741490,,,,89.071708
298,305152,67077,-0.082787,0,-99.265331,251.316667,0,0,0,0,0,48,1,1,46,0.020833,0.020833,0.001728,3.063596,0.000533,175.494597,,,,89.071708
299,306176,58180,0.207814,0,-99.265331,251.316667,0,0,0,0,0,47,6,1,40,0.127660,0.021277,0.003118,3.061652,0.000152,190.107503,,,,89.071708
300,307200,51428,0.131117,3,-86.446299,326.185000,0,0,0,0,3,50,5,1,44,0.100000,0.020000,0.003272,3.066996,0.001247,206.917863,-21.678003,225.390222,415.50,89.071708
301,308224,22920,0.116262,3,-79.585951,316.999833,0,0,0,3,0,48,6,0,42,0.125000,0.000000,0.004523,3.060609,0.000931,178.289974,,,,89.071708
302,309248,21823,-0.034390,2,-89.644616,328.399850,0,1,0,1,0,49,4,1,44,0.081633,0.020408,0.003237,3.072289,0.000804,253.817966,,,,89.071708
303,310272,20831,-0.250653,4,-82.148247,357.534865,0,1,0,1,2,47,4,1,42,0.085106,0.021277,0.002631,3.057842,-0.000247,337.872520,,,,89.071708
304,311296,19979,-0.538425,4,-74.502129,364.606378,1,0,1,1,1,49,4,3,42,0.081633,0.061224,0.002071,3.063175,0.001537,705.492367,,,,89.071708
